Spain,95.426
England,69.176
Italy,67.416
Germany,66.141
France,51.081
Russia,47.982
Portugal,43.248
Ukraine,38.333
Belgium,37.700
Turkey,33.000
Austria,28.850
Netherlands,28.749
Czech Republic,27.975
Greece,27.800
Switzerland,26.800
Denmark,25.450
Croatia,25.250
Cyprus,21.550
Israel,21.250
Poland,20.125
